Date,Open,High,Low,Close,Adj Close,Volume
,4.2225,4.745,4.16,4.4799999999999995,4.4799999999999995,9000875
,4.3149999999999995,4.75,4.1899999999999995,4.529999999999999,4.529999999999999,7640350
,4.4075,4.755,4.22,4.58,4.58,6279825
2020-08-05,4.5,4.76,4.25,4.63,4.63,4919300
,4.525,4.734999999999999,4.2825,4.58,4.58,4164775
,4.55,4.71,4.3149999999999995,4.529999999999999,4.529999999999999,3410250
,4.574999999999999,4.6850000000000005,4.3475,4.4799999999999995,4.4799999999999995,2655725
2020-08-06,4.6,4.66,4.38,4.43,4.43,1901200
,4.547499999999999,4.595000000000001,4.3,4.3625,4.3625,2261175
,4.494999999999999,4.53,4.22,4.295,4.295,2621150
,4.442499999999999,4.465,4.14,4.2275,4.2275,2981125
2020-08-07,4.39,4.4,4.06,4.16,4.16,3341100
,4.342499999999999,4.442500000000001,4.09,4.202500000000001,4.202500000000001,3646275
,4.295,4.485,4.119999999999999,4.245,4.245,3951450
,4.2475000000000005,4.5275,4.1499999999999995,4.2875,4.2875,4256625
2020-08-10,4.2,4.57,4.18,4.33,4.33,4561800
,4.2575,4.57,4.22,4.335,4.335,4206050
,4.3149999999999995,4.57,4.26,4.34,4.34,3850300
,4.3725,4.57,4.3,4.345,4.345,3494550
2020-08-11,4.43,4.57,4.34,4.35,4.35,3138800
,4.422499999999999,4.585,4.345,4.3925,4.3925,3118500
,4.415,4.6,4.35,4.435,4.435,3098200
,4.407500000000001,4.615,4.355,4.477499999999999,4.477499999999999,3077900
2020-08-12,4.4,4.63,4.36,4.52,4.52,3057600
,4.43,4.65,4.395,4.55,4.55,2825275
,4.46,4.67,4.43,4.58,4.58,2592950
,4.49,4.6899999999999995,4.465,4.609999999999999,4.609999999999999,2360625
2020-08-13,4.52,4.71,4.5,4.64,4.64,2128300
,4.539999999999999,4.74,4.5125,4.6675,4.6675,2464825
,4.56,4.77,4.525,4.695,4.695,2801350
,4.58,4.8,4.5375,4.7225,4.7225,3137875
2020-08-14,4.6,4.83,4.55,4.75,4.75,3474400
,4.645,4.8175,4.5525,4.72,4.72,3198550
,4.6899999999999995,4.805,4.555,4.6899999999999995,4.6899999999999995,2922700
,4.734999999999999,4.7925,4.557499999999999,4.66,4.66,2646850
2020-08-17,4.78,4.78,4.56,4.63,4.63,2371000
,4.737500000000001,4.8025,4.5275,4.675,4.675,2736850
