,Date,Open,High,Low,Close,Adj Close,Volume
62,2020-10-01,10.09,10.25,9.69,9.77,9.77,4554100
63,2020-10-02,9.38,9.78,9.3,9.39,9.39,4340500
64,2020-10-05,9.44,9.59,9.25,9.46,9.46,2805000
65,2020-10-06,9.56,9.84,9.1,9.13,9.13,4535400
66,2020-10-07,9.23,9.56,9.17,9.36,9.36,3308600
67,2020-10-08,9.54,13.64,9.19,13.49,13.49,76453600
68,2020-10-09,12.83,14.8,11.9,12.02,12.02,77152800
69,2020-10-12,11.66,12.77,11.4,11.8,11.8,23655700
70,2020-10-13,11.73,12.42,11.65,11.88,11.88,10179700
71,2020-10-14,12.67,12.68,12.05,12.25,12.25,10761400
72,2020-10-15,11.99,15.1,11.99,13.83,13.83,39894800
73,2020-10-16,13.77,13.9,13.08,13.31,13.31,11651600
74,2020-10-19,13.44,14.5,13.38,13.91,13.91,13169100
75,2020-10-20,14.03,14.14,13.67,13.86,13.86,6604000
76,2020-10-21,13.9,14.42,13.8,14.1,14.1,5361900
77,2020-10-22,14.2,15.87,14.19,14.91,14.91,16212200
78,2020-10-23,15.05,15.38,14.55,15.0,15.0,6507300
79,2020-10-26,14.93,15.45,13.26,13.45,13.45,13376300
80,2020-10-27,13.71,13.71,12.36,12.69,12.69,7231000
81,2020-10-28,12.27,13.05,11.78,11.82,11.82,6388600
82,2020-10-29,11.88,12.25,11.68,11.73,11.73,4165800
83,2020-10-30,11.64,11.64,10.36,10.47,10.47,11546900
84,2020-11-02,10.82,11.09,10.5,10.75,10.75,5227000
85,2020-11-03,10.75,11.86,10.63,11.57,11.57,7454500
86,2020-11-04,11.76,11.77,10.61,10.91,10.91,5807900
87,2020-11-05,11.27,11.84,11.06,11.45,11.45,4705200
88,2020-11-06,11.52,12.17,11.32,11.86,11.86,5518200
89,2020-11-09,12.76,12.93,11.25,11.49,11.49,6244900
90,2020-11-10,11.5,11.66,10.83,11.1,11.1,3826000
91,2020-11-11,11.5,11.95,11.21,11.75,11.75,4882600
92,2020-11-12,11.74,11.87,10.97,11.13,11.13,4353300
93,2020-11-13,11.36,11.55,11.0,11.01,11.01,3535900
94,2020-11-16,11.16,12.66,10.72,12.06,12.06,9774800
95,2020-11-17,11.65,11.92,11.23,11.63,11.63,6678200
96,2020-11-18,11.8,12.04,11.56,11.57,11.57,3169200
97,2020-11-19,11.6,12.79,11.45,12.46,12.46,11787600
98,2020-11-20,12.55,13.46,12.54,12.71,12.71,8395400
99,2020-11-23,12.9,14.12,12.67,13.9,13.9,9599100
100,2020-11-24,14.23,14.26,13.3,13.67,13.67,7183200
101,2020-11-25,13.6,15.25,13.42,14.75,14.75,8860100
